gene,annotation,symbol
AT1G72600,hydroxyproline-rich glycoprotein family protein(AT1G72600),AT1G72600
AT1G72610,germin-like protein 1(GER1),GER1
AT1G72620,alpha/beta-Hydrolases superfamily protein(AT1G72620),AT1G72620
AT1G72630,ELF4-like 2(ELF4-L2),ELF4-L2
AT1G72640,NAD(P)-binding Rossmann-fold superfamily protein(AT1G72640),AT1G72640
AT1G72645,transmembrane protein(AT1G72645),AT1G72645
AT1G72650,TRF-like 6(TRFL6),TRFL6
AT1G72660,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G72660),AT1G72660
AT1G72670,IQ-domain 8(iqd8),iqd8
AT1G72680,cinnamyl-alcohol dehydrogenase(CAD1),CAD1
AT1G72690,neurofilament heavy protein(AT1G72690),AT1G72690
AT1G72700,ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein(AT1G72700),AT1G72700
AT1G72710,casein kinase 1-like protein 2(CKL2),CKL2
AT1G72720,hypothetical protein (DUF3511)(AT1G72720),AT1G72720
AT1G72730,DEA(D/H)-box RNA helicase family protein(AT1G72730),AT1G72730
AT1G72740,Homeodomain-like/winged-helix DNA-binding family protein(AT1G72740),AT1G72740
AT1G72750,translocase inner membrane subunit 23-2(TIM23-2),TIM23-2
AT1G72760,Protein kinase superfamily protein(AT1G72760),AT1G72760
AT1G72770,HYPERSENSITIVE TO ABA1(HAB1),HAB1
AT1G72790,hydroxyproline-rich glycoprotein family protein(AT1G72790),AT1G72790
AT1G72800,RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G72800),AT1G72800
AT1G72810,Pyridoxal-5'-phosphate-dependent enzyme family protein(AT1G72810),AT1G72810
AT1G72820,Mitochondrial substrate carrier family protein(AT1G72820),AT1G72820
AT1G72830,"nuclear factor Y, subunit A3(NF-YA3)",NF-YA3
AT1G72840,Disease resistance protein (TIR-NBS-LRR class)(AT1G72840),AT1G72840
AT1G72850,Disease resistance protein (TIR-NBS class)(AT1G72850),AT1G72850
AT1G72860,Disease resistance protein (TIR-NBS-LRR class) family(AT1G72860),AT1G72860
AT1G72870,Disease resistance protein (TIR-NBS class)(AT1G72870),AT1G72870
AT1G72880,Survival protein SurE-like phosphatase/nucleotidase(AT1G72880),AT1G72880
AT1G72890,Disease resistance protein (TIR-NBS class)(AT1G72890),AT1G72890
AT1G72900,Toll-Interleukin-Resistance (TIR) domain-containing protein(AT1G72900),AT1G72900
AT1G72910,Toll-Interleukin-Resistance (TIR) domain-containing protein(AT1G72910),AT1G72910
AT1G72920,Toll-Interleukin-Resistance (TIR) domain family protein(AT1G72920),AT1G72920
AT1G72930,toll/interleukin-1 receptor-like protein(TIR),TIR
AT1G72940,Toll-Interleukin-Resistance (TIR) domain-containing protein(AT1G72940),AT1G72940
AT1G72950,Disease resistance protein (TIR-NBS class)(AT1G72950),AT1G72950
AT1G72960,Root hair defective 3 GTP-binding protein (RHD3)(AT1G72960),AT1G72960
AT1G72970,Glucose-methanol-choline (GMC) oxidoreductase family protein(HTH),HTH
AT1G72990,beta-galactosidase 17(BGAL17),BGAL17
AT1G73000,PYR1-like 3(PYL3),PYL3
AT1G73010,inorganic pyrophosphatase 1(PS2),PS2
AT1G73020,anoctamin-like protein(AT1G73020),AT1G73020
AT1G73030,SNF7 family protein(VPS46.2),VPS46.2
AT1G73040,Mannose-binding lectin superfamily protein(AT1G73040),AT1G73040
AT1G73050,Glucose-methanol-choline (GMC) oxidoreductase family protein(AT1G73050),AT1G73050
AT1G73060,Low PSII Accumulation 3(LPA3),LPA3
AT1G73066,Leucine-rich repeat family protein(AT1G73066),AT1G73066
AT1G73080,PEP1 receptor 1(PEPR1),PEPR1
AT1G73090,WD repeat protein(AT1G73090),AT1G73090
AT1G73100,"histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH3-like protein(SUVH3)",SUVH3
AT1G73110,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G73110),AT1G73110
AT1G73120,F-box/RNI superfamily protein(AT1G73120),AT1G73120
AT1G73130,mucin(AT1G73130),AT1G73130
AT1G73140,trichome birefringence-like protein (DUF828)(TBL31),TBL31
AT1G73150,global transcription factor group E3(GTE3),GTE3
AT1G73160,UDP-Glycosyltransferase superfamily protein(AT1G73160),AT1G73160
AT1G73165,CLAVATA3/ESR-RELATED 1(CLE1),CLE1
AT1G73170,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G73170),AT1G73170
AT1G73177,bonsai(BNS),BNS
AT1G73180,Eukaryotic translation initiation factor eIF2A family protein(AT1G73180),AT1G73180
AT1G73190,Aquaporin-like superfamily protein(TIP3;1),TIP3;1
AT1G73200,testis-expressed sequence 2-like protein (DUF2404)(AT1G73200),AT1G73200
AT1G73210,hypothetical protein (DUF789)(AT1G73210),AT1G73210
AT1G73220,organic cation/carnitine transporter1(OCT1),AtOCT1
AT1G73230,Nascent polypeptide-associated complex NAC(AT1G73230),AT1G73230
AT1G73240,nucleoporin protein Ndc1-Nup protein(AT1G73240),AT1G73240
AT1G73250,"GDP-4-keto-6-deoxymannose-3,5-epimerase-4-reductase 1(GER1)",GER1
AT1G73260,kunitz trypsin inhibitor 1(KTI1),KTI1
AT1G73270,serine carboxypeptidase-like 6(scpl6),scpl6
AT1G73280,serine carboxypeptidase-like 3(scpl3),scpl3
AT1G73290,serine carboxypeptidase-like 5(scpl5),scpl5
AT1G73300,serine carboxypeptidase-like 2(scpl2),scpl2
AT1G73310,serine carboxypeptidase-like 4(scpl4),scpl4
AT1G73320,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G73320),AT1G73320
AT1G73325,Kunitz family trypsin and protease inhibitor protein(AT1G73325),AT1G73325
AT1G73330,drought-repressed 4(DR4),DR4
AT1G73340,Cytochrome P450 superfamily protein(AT1G73340),AT1G73340
AT1G73350,ankyrin repeat protein(AT1G73350),AT1G73350
AT1G73360,homeodomain GLABROUS 11(HDG11),HDG11
AT1G73370,sucrose synthase 6(SUS6),SUS6
AT1G73380,hypothetical protein(AT1G73380),AT1G73380
AT1G73390,Endosomal targeting BRO1-like domain-containing protein(AT1G73390),AT1G73390
AT1G73400,Pentatricopeptide repeat (PPR) superfamily protein(AT1G73400),AT1G73400
AT1G73410,myb domain protein 54(MYB54),MYB54
AT1G73430,sec34-like family protein(AT1G73430),AT1G73430
AT1G73440,calmodulin-like protein(AT1G73440),AT1G73440
AT1G73445,hypothetical protein(AT1G73445),AT1G73445
AT1G73450,Protein kinase superfamily protein(AT1G73450),AT1G73450
AT1G73460,Protein kinase superfamily protein(AT1G73460),AT1G73460
AT1G73470,hypothetical protein(AT1G73470),AT1G73470
AT1G73480,alpha/beta-Hydrolases superfamily protein(AT1G73480),AT1G73480
AT1G73490,RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G73490),AT1G73490
AT1G73500,MAP kinase kinase 9(MKK9),MKK9
AT1G73510,hypothetical protein(AT1G73510),AT1G73510
AT1G73530,RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G73530),AT1G73530
AT1G73540,nudix hydrolase homolog 21(NUDT21),NUDT21
AT1G73550,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G73550),AT1G73550
AT1G73570,HCP-like superfamily protein(AT1G73570),AT1G73570
AT1G73580,Calcium-dependent lipid-binding (CaLB domain) family protein(AT1G73580),AT1G73580
AT1G73590,Auxin efflux carrier family protein(PIN1),PIN1
AT1G73600,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G73600),AT1G73600
AT1G73610,GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G73610),AT1G73610
AT1G73620,Pathogenesis-related thaumatin superfamily protein(AT1G73620),AT1G73620
AT1G73630,EF hand calcium-binding protein family(AT1G73630),AT1G73630
AT1G73640,RAB GTPase homolog A6A(RABA6a),RABA6a
AT1G73650,3-oxo-5-alpha-steroid 4-dehydrogenase (DUF1295)(AT1G73650),AT1G73650
AT1G73655,FKBP-like peptidyl-prolyl cis-trans isomerase family protein(AT1G73655),AT1G73655
AT1G73660,protein tyrosine kinase family protein(AT1G73660),AT1G73660
AT1G73670,MAP kinase 15(MPK15),MPK15
AT1G73680,alpha dioxygenase(ALPHA DOX2),ALPHA DOX2
AT1G73687,ncRNA(MIR159a),MIR159a
AT1G73690,cyclin-dependent kinase D1;1(CDKD1;1),CDKD1;1
AT1G73700,MATE efflux family protein(AT1G73700),AT1G73700
AT1G73710,Pentatricopeptide repeat (PPR) superfamily protein(AT1G73710),AT1G73710
AT1G73720,transducin family protein / WD-40 repeat family protein(SMU1),SMU1
AT1G73730,ETHYLENE-INSENSITIVE3-like 3(EIL3),EIL3
AT1G73740,UDP-Glycosyltransferase superfamily protein(AT1G73740),AT1G73740
AT1G73750,alpha/beta hydrolase family protein(AT1G73750),AT1G73750
AT1G73760,RING/U-box superfamily protein(AT1G73760),AT1G73760
AT1G73770,coiled-coil protein(AT1G73770),AT1G73770
AT1G73780,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G73780),AT1G73780
AT1G73790,mitotic-spindle organizing 1B-like protein (DUF3743)(GIP2),GIP2
AT1G73805,Calmodulin binding protein-like protein(SARD1),SARD1
AT1G73810,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT1G73810)",AT1G73810
AT1G73820,Ssu72-like family protein(AT1G73820),AT1G73820
AT1G73830,BR enhanced expression 3(BEE3),BEE3
AT1G73840,hydroxyproline-rich glycoprotein family protein(ESP1),ESP1
AT1G73850,DNA ligase (DUF1666)(AT1G73850),AT1G73850
AT1G73860,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G73860),AT1G73860
AT1G73870,B-box type zinc finger protein with CCT domain-containing protein(BBX16),BBX16
AT1G73875,DNAse I-like superfamily protein(AT1G73875),AT1G73875
AT1G73880,UDP-glucosyl transferase 89B1(UGT89B1),UGT89B1
AT1G73885,AT-rich interactive domain protein(AT1G73885),AT1G73885
AT1G73890,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G73890),AT1G73890
AT1G73910,actin-related proteins 4A(ARP4A),ARP4A
AT1G73920,alpha/beta-Hydrolases superfamily protein(AT1G73920),AT1G73920
AT1G73930,polarity axis stabilization protein(AT1G73930),AT1G73930
AT1G73940,tumor necrosis factor receptor family protein(AT1G73940),AT1G73940
AT1G73950,Transmembrane Fragile-X-F-associated protein(AT1G73950),AT1G73950
AT1G73960,TBP-associated factor 2(TAF2),TAF2
AT1G73965,CLAVATA3/ESR-RELATED 13(CLE13),CLE13
AT1G73970,obscurin-like protein(AT1G73970),AT1G73970
AT1G73980,Phosphoribulokinase / Uridine kinase family(AT1G73980),AT1G73980
AT1G73990,signal peptide peptidase(SPPA),SPPA
AT1G74000,strictosidine synthase 3(SS3),SS3
AT1G74010,Calcium-dependent phosphotriesterase superfamily protein(AT1G74010),AT1G74010
AT1G74020,strictosidine synthase 2(SS2),SS2
AT1G74030,enolase 1(ENO1),ENO1
AT1G74040,2-isopropylmalate synthase 1(IMS1),IMS1
AT1G74050,Ribosomal protein L6 family protein(AT1G74050),AT1G74050
AT1G74055,transmembrane protein(AT1G74055),AT1G74055
AT1G74060,Ribosomal protein L6 family protein(AT1G74060),AT1G74060
AT1G74070,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein(AT1G74070),AT1G74070
AT1G74080,myb domain protein 122(MYB122),MYB122
AT1G74088,galacturonosyltransferase(AT1G74088),AT1G74088
AT1G74090,desulfo-glucosinolate sulfotransferase 18(SOT18),SOT18
AT1G74100,sulfotransferase 16(SOT16),SOT16
AT1G74110,"cytochrome P450, family 78, subfamily A, polypeptide 10(CYP78A10)",CYP78A10
AT1G74120,Mitochondrial transcription termination factor family protein(AT1G74120),AT1G74120
AT1G74130,Rhomboid-related intramembrane serine protease family protein(AT1G74130),AT1G74130
AT1G74140,Rhomboid-related intramembrane serine protease family protein(AT1G74140),AT1G74140
AT1G74150,Galactose oxidase/kelch repeat superfamily protein(AT1G74150),AT1G74150
AT1G74160,LONGIFOLIA protein(TRM4),TRM4
AT1G74170,receptor like protein 13(RLP13),RLP13
AT1G74180,receptor like protein 14(RLP14),RLP14
AT1G74190,receptor like protein 15(RLP15),RLP15
AT1G74200,receptor like protein 16(RLP16),RLP16
AT1G74205,ncRNA(AT1G74205),AT1G74205
AT1G74210,PLC-like phosphodiesterases superfamily protein(GDPD5),GDPD5
AT1G74230,glycine-rich RNA-binding protein 5(GR-RBP5),GR-RBP5
AT1G74240,Mitochondrial substrate carrier family protein(AT1G74240),AT1G74240
AT1G74250,DNAJ heat shock N-terminal domain-containing protein(AT1G74250),AT1G74250
AT1G74260,purine biosynthesis 4(PUR4),PUR4
AT1G74270,Ribosomal protein L35Ae family protein(AT1G74270),AT1G74270
AT1G74280,alpha/beta-Hydrolases superfamily protein(AT1G74280),AT1G74280
AT1G74290,alpha/beta-Hydrolases superfamily protein(AT1G74290),AT1G74290
AT1G74300,alpha/beta-Hydrolases superfamily protein(AT1G74300),AT1G74300
AT1G74310,heat shock protein 101(HSP101),HSP101
AT1G74320,Protein kinase superfamily protein(AT1G74320),AT1G74320
AT1G74330,Protein kinase superfamily protein(AT1G74330),AT1G74330
AT1G74340,dolichol phosphate-mannose biosynthesis regulatory protein-like protein(DPMS2),DPMS2
AT1G74350,"Intron maturase, type II family protein(AT1G74350)",AT1G74350
AT1G74360,Leucine-rich repeat protein kinase family protein(AT1G74360),AT1G74360
AT1G74370,RING/U-box superfamily protein(AT1G74370),AT1G74370
AT1G74380,xyloglucan xylosyltransferase 5(XXT5),XXT5
AT1G74390,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein(AT1G74390)",AT1G74390
AT1G74400,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G74400),AT1G74400
AT1G74410,RING/U-box superfamily protein(AT1G74410),AT1G74410
AT1G74420,fucosyltransferase 3(FUT3),FUT3
AT1G74430,myb domain protein 95(MYB95),MYB95
AT1G74440,"ER membrane protein, putative (DUF962)(AT1G74440)",AT1G74440
AT1G74450,BPS1-like protein (DUF793)(AT1G74450),AT1G74450
AT1G74453,ncRNA(AT1G74453),AT1G74453
AT1G74456,ncRNA(AT1G74456),AT1G74456
AT1G74458,transmembrane protein(AT1G74458),AT1G74458
AT1G74460,GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G74460),AT1G74460
AT1G74470,Pyridine nucleotide-disulfide oxidoreductase family protein(AT1G74470),AT1G74470
AT1G74480,RWP-RK domain-containing protein(RKD2),RKD2
AT1G74490,Protein kinase superfamily protein(AT1G74490),AT1G74490
AT1G74500,activation-tagged BRI1(brassinosteroid-insensitive 1)-suppressor 1(BS1),BS1
AT1G74510,Galactose oxidase/kelch repeat superfamily protein(AT1G74510),AT1G74510
AT1G74520,HVA22 homologue A(HVA22A),HVA22A
AT1G74530,transmembrane protein(AT1G74530),AT1G74530
AT1G74540,"cytochrome P450, family 98, subfamily A, polypeptide 8(CYP98A8)",CYP98A8
AT1G74545,ncRNA(AT1G74545),AT1G74545
AT1G74550,"cytochrome P450, family 98, subfamily A, polypeptide 9(CYP98A9)",CYP98A9
AT1G74560,NAP1-related protein 1(NRP1),NRP1
AT1G74580,Pentatricopeptide repeat (PPR) superfamily protein(AT1G74580),AT1G74580
AT1G74590,glutathione S-transferase TAU 10(GSTU10),GSTU10
AT1G74600,pentatricopeptide (PPR) repeat-containing protein(OTP87),OTP87
AT1G74630,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G74630),AT1G74630
AT1G74640,alpha/beta-Hydrolases superfamily protein(AT1G74640),AT1G74640
AT1G74650,myb domain protein 31(MYB31),MYB31
AT1G74660,mini zinc finger 1(MIF1),MIF1
AT1G74670,Gibberellin-regulated family protein(GASA6),GASA6
AT1G74680,Exostosin family protein(AT1G74680),AT1G74680
AT1G74690,IQ-domain 31(IQD31),IQD31
AT1G74700,tRNAse Z1(TRZ1),TRZ1
AT1G74710,ADC synthase superfamily protein(EDS16),EDS16
AT1G74720,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein(QKY),QKY
AT1G74730,"transmembrane protein, putative (DUF1118)(AT1G74730)",AT1G74730
AT1G74740,calcium-dependent protein kinase 30(CPK30),CPK30
AT1G74750,Pentatricopeptide repeat (PPR) superfamily protein(AT1G74750),AT1G74750
AT1G74770,zinc ion binding protein(AT1G74770),AT1G74770
AT1G74780,Nodulin-like / Major Facilitator Superfamily protein(AT1G74780),AT1G74780
AT1G74790,catalytics(AT1G74790),AT1G74790
AT1G74800,Galactosyltransferase family protein(AT1G74800),AT1G74800
AT1G74810,HCO3- transporter family(BOR5),BOR5
AT1G74830,"myosin-binding protein, putative (Protein of unknown function, DUF593)(AT1G74830)",AT1G74830
AT1G74840,Homeodomain-like superfamily protein(AT1G74840),AT1G74840
AT1G74850,plastid transcriptionally active 2(PTAC2),PTAC2
AT1G74860,hypothetical protein(AT1G74860),AT1G74860
AT1G74870,RING/U-box superfamily protein(AT1G74870),AT1G74870
AT1G74875,F-box protein(AT1G74875),AT1G74875
AT1G74880,NAD(P)H:plastoquinone dehydrogenase complex subunit O(NdhO),NdhO
AT1G74890,response regulator 15(ARR15),ARR15
AT1G74900,Pentatricopeptide repeat (PPR) superfamily protein(OTP43),OTP43
AT1G74910,ADP-glucose pyrophosphorylase family protein(AT1G74910),AT1G74910
AT1G74920,aldehyde dehydrogenase 10A8(ALDH10A8),ALDH10A8
AT1G74929,hypothetical protein(AT1G74929),AT1G74929
AT1G74930,Integrase-type DNA-binding superfamily protein(ORA47),ORA47
AT1G74940,"cyclin-dependent kinase, putative (DUF581)(AT1G74940)",AT1G74940
AT1G74950,TIFY domain/Divergent CCT motif family protein(TIFY10B),TIFY10B
AT1G74960,fatty acid biosynthesis 1(FAB1),FAB1
AT1G74970,ribosomal protein S9(RPS9),RPS9
AT1G75000,GNS1/SUR4 membrane protein family(AT1G75000),AT1G75000
AT1G75010,GTP binding protein(ARC3),ARC3
AT1G75020,lysophosphatidyl acyltransferase 4(LPAT4),LPAT4
AT1G75030,thaumatin-like protein 3(TLP-3),TLP-3
AT1G75040,pathogenesis-related protein 5(PR5),PR5
AT1G75050,Pathogenesis-related thaumatin superfamily protein(AT1G75050),AT1G75050
AT1G75060,histone deacetylase complex subunit(AT1G75060),AT1G75060
AT1G75080,Brassinosteroid signaling positive regulator (BZR1) family protein(BZR1),BZR1
AT1G75090,DNA glycosylase superfamily protein(AT1G75090),AT1G75090
AT1G75100,J-domain protein required for chloroplast accumulation response 1(JAC1),JAC1
AT1G75110,Nucleotide-diphospho-sugar transferase family protein(RRA2),RRA2
AT1G75120,Nucleotide-diphospho-sugar transferase family protein(RRA1),RRA1
AT1G75130,"cytochrome P450, family 721, subfamily A, polypeptide 1(CYP721A1)",CYP721A1
AT1G75140,membrane protein(AT1G75140),AT1G75140
AT1G75150,DNA ligase-like protein(AT1G75150),AT1G75150
AT1G75160,DUF620 family protein (DUF620)(AT1G75160),AT1G75160
AT1G75163,ncRNA(AT1G75163),AT1G75163
AT1G75166,ncRNA(AT1G75166),AT1G75166
AT1G75170,Sec14p-like phosphatidylinositol transfer family protein(AT1G75170),AT1G75170
AT1G75180,Erythronate-4-phosphate dehydrogenase family protein(AT1G75180),AT1G75180
AT1G75190,hypothetical protein(AT1G75190),AT1G75190
AT1G75200,flavodoxin family protein / radical SAM domain-containing protein(AT1G75200),AT1G75200
AT1G75210,"HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase(AT1G75210)",AT1G75210
AT1G75220,Major facilitator superfamily protein(ERDL6),ERDL6
AT1G75230,DNA glycosylase superfamily protein(AT1G75230),AT1G75230
AT1G75240,homeobox protein 33(HB33),HB33
AT1G75250,RAD-like 6(RL6),RL6
AT1G75260,"oxidoreductases, acting on NADH or NADPH(AT1G75260)",AT1G75260
AT1G75270,dehydroascorbate reductase 2(DHAR2),DHAR2
AT1G75280,NmrA-like negative transcriptional regulator family protein(AT1G75280),AT1G75280
AT1G75290,NAD(P)-binding Rossmann-fold superfamily protein(AT1G75290),AT1G75290
AT1G75295,ncRNA(AT1G75295),AT1G75295
AT1G75300,NmrA-like negative transcriptional regulator family protein(AT1G75300),AT1G75300
AT1G75310,auxin-like 1 protein(AUL1),AUL1
AT1G75330,ornithine carbamoyltransferase(OTC),OTC
AT1G75335,nucleolar-like protein(AT1G75335),AT1G75335
AT1G75340,Zinc finger C-x8-C-x5-C-x3-H type family protein(AT1G75340),AT1G75340
AT1G75350,Ribosomal protein L31(emb2184),emb2184
AT1G75360,transmembrane protein(AT1G75360),AT1G75360
AT1G75370,Sec14p-like phosphatidylinositol transfer family protein(AT1G75370),AT1G75370
AT1G75380,bifunctional nuclease in basal defense response 1(BBD1),BBD1
AT1G75394,miscRNA(AT1G75394),AT1G75394
AT1G75400,RING/U-box superfamily protein(AT1G75400),AT1G75400
AT1G75410,BEL1-like homeodomain 3(BLH3),BLH3
AT1G75420,UDP-Glycosyltransferase superfamily protein(AT1G75420),AT1G75420
AT1G75430,BEL1-like homeodomain 11(BLH11),BLH11
AT1G75440,ubiquitin-conjugating enzyme 16(UBC16),UBC16
AT1G75450,cytokinin oxidase 5(CKX5),CKX5
AT1G75460,ATP-dependent protease La (LON) domain protein(AT1G75460),AT1G75460
AT1G75470,purine permease(PUP15),PUP15
AT1G75490,Integrase-type DNA-binding superfamily protein(AT1G75490),AT1G75490
AT1G75500,Walls Are Thin 1(WAT1),WAT1
AT1G75510,"Transcription initiation factor IIF, beta subunit(AT1G75510)",AT1G75510
AT1G75520,SHI-related sequence 5(SRS5),SRS5
AT1G75540,salt tolerance homolog2(BBX21),BBX21
AT1G75550,glycine-rich protein(AT1G75550),AT1G75550
AT1G75560,zinc knuckle (CCHC-type) family protein(AT1G75560),AT1G75560
AT1G75580,SAUR-like auxin-responsive protein family(AT1G75580),AT1G75580
AT1G75590,SAUR-like auxin-responsive protein family(AT1G75590),AT1G75590
AT1G75600,Histone superfamily protein(AT1G75600),AT1G75600
AT1G75620,glyoxal oxidase-related protein(AT1G75620),AT1G75620
AT1G75630,vacuolar H+-pumping ATPase 16 kDa proteolipid subunit 4(AVA-P4),AVA-P4
AT1G75640,Leucine-rich receptor-like protein kinase family protein(AT1G75640),AT1G75640
