"gene","Dittberner_moleco18_Delta_13C_rs","Dittberner_moleco18_Delta_13C_P_val","annotation","symbol"
"AT2G29020",0.16,0.14,"Rab5-interacting family protein(AT2G29020)","AT2G29020"
"AT2G30120",0.16,0.14,"protein FLC EXPRESSOR(AT2G30120)","AT2G30120"
"AT2G30790",0.16,0.14,"photosystem II subunit P-2(PSBP-2)","PSBP-2"
"AT2G30900",0.16,0.14,"TRICHOME BIREFRINGENCE-LIKE 43(TBL43)","TBL43"
"AT2G31070",0.16,0.13,"TCP domain protein 10(TCP10)","TCP10"
"AT2G31170",0.16,0.13,"Cysteinyl-tRNA synthetase, class Ia family protein(SYCO ARATH)","SYCO ARATH"
"AT2G31560",0.16,0.14,"signal transducer/transcription protein, putative (DUF1685)(AT2G31560)","AT2G31560"
"AT2G32415",0.16,0.13,"Polynucleotidyl transferase, ribonuclease H fold protein with HRDC domain-containing protein(AT2G32415)","AT2G32415"
"AT2G32710",0.16,0.12,"Cyclin-dependent kinase inhibitor family protein(AT2G32710)","AT2G32710"
"AT2G32990",0.16,0.13,"glycosyl hydrolase 9B8(GH9B8)","GH9B8"
"AT2G35690",0.16,0.15,"acyl-CoA oxidase 5(ACX5)","ACX5"
"AT2G35860",0.16,0.15,"FASCICLIN-like arabinogalactan protein 16 precursor(FLA16)","FLA16"
"AT2G36070",0.16,0.14,"translocase inner membrane subunit 44-2(TIM44-2)","TIM44-2"
"AT2G36310",0.16,0.14,"uridine-ribohydrolase 1(URH1)","URH1"
"AT2G37190",0.16,0.15,"Ribosomal protein L11 family protein(AT2G37190)","AT2G37190"
"AT2G37370",0.16,0.14,"centrosomal protein of 135 kDa-like protein(AT2G37370)","AT2G37370"
"AT2G38490",0.16,0.14,"CBL-interacting Serine/Threonine-kinase(CIPK22)","CIPK22"
"AT2G38500",0.16,0.13,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT2G38500)","AT2G38500"
"AT2G39800",0.16,0.15,"delta1-pyrroline-5-carboxylate synthase 1(P5CS1)","P5CS1"
"AT2G39820",0.16,0.13,"Translation initiation factor IF6(eIF6B)","eIF6B"
"AT2G40120",0.16,0.13,"Protein kinase superfamily protein(AT2G40120)","AT2G40120"
"AT2G40900",0.16,0.14,"nodulin MtN21 /EamA-like transporter family protein(UMAMIT11)","UMAMIT11"
"AT2G42130",0.16,0.15,"Plastid-lipid associated protein PAP / fibrillin family protein(AT2G42130)","AT2G42130"
"AT2G43220",0.16,0.13,"Cysteine/Histidine-rich C1 domain family protein(AT2G43220)","AT2G43220"
"AT2G43650",0.16,0.13,"Sas10/U3 ribonucleoprotein (Utp) family protein(EMB2777)","EMB2777"
"AT2G44930",0.16,0.14,"transmembrane protein, putative (DUF247)(AT2G44930)","AT2G44930"
"AT2G45640",0.16,0.13,"SIN3 associated polypeptide P18(SAP18)","SAP18"
"AT2G46030",0.16,0.14,"ubiquitin-conjugating enzyme 6(UBC6)","UBC6"
"AT2G46040",0.16,0.13,"ARID/BRIGHT AND ELM2 DNA-binding domain-containing protein(AT2G46040)","AT2G46040"
"AT2G47150",0.16,0.15,"NAD(P)-binding Rossmann-fold superfamily protein(AT2G47150)","AT2G47150"
"AT3G01450",0.16,0.14,"ARM repeat superfamily protein(AT3G01450)","AT3G01450"
"AT3G02850",0.16,0.14,"STELAR K+ outward rectifier(SKOR)","SKOR"
"AT3G05000",0.16,0.14,"Transport protein particle (TRAPP) component(AT3G05000)","AT3G05000"
"AT3G05320",0.16,0.14,"O-fucosyltransferase family protein(AT3G05320)","AT3G05320"
"AT3G05430",0.16,0.13,"Tudor/PWWP/MBT superfamily protein(AT3G05430)","AT3G05430"
"AT3G06660",0.16,0.13,"PAPA-1-like family protein / zinc finger (HIT type) family protein(AT3G06660)","AT3G06660"
"AT3G07195",0.16,0.15,"RPM1-interacting protein 4 (RIN4) family protein(AT3G07195)","AT3G07195"
"AT3G09530",0.16,0.15,"exocyst subunit exo70 family protein H3(EXO70H3)","EXO70H3"
"AT3G10610",0.16,0.14,"Ribosomal S17 family protein(AT3G10610)","AT3G10610"
"AT3G10670",0.16,0.13,"non-intrinsic ABC protein 7(NAP7)","NAP7"
"AT3G11945",0.16,0.13,"homogentisate prenyltransferase(HST)","HST"
"AT3G12990",0.16,0.13,"ribonuclease PH45A(RRP45a)","RRP45a"
"AT3G14750",0.16,0.14,"structural maintenance of chromosomes domain protein(AT3G14750)","AT3G14750"
"AT3G16080",0.16,0.15,"Zinc-binding ribosomal protein family protein(AT3G16080)","AT3G16080"
"AT3G17730",0.16,0.14,"NAC domain containing protein 57(NAC057)","NAC057"
"AT3G18235",0.16,0.15,"hypothetical protein(AT3G18235)","AT3G18235"
"AT3G18910",0.16,0.14,"EIN2 targeting protein2(ETP2)","ETP2"
"AT3G19570",0.16,0.15,"SNOWY COTYLEDON protein (DUF566)(SCO3)","SCO3"
"AT3G20870",0.16,0.14,"ZIP metal ion transporter family(AT3G20870)","AT3G20870"
"AT3G21250",0.16,0.14,"multidrug resistance-associated protein 6(ABCC8)","ABCC8"
"AT3G22590",0.16,0.14,"PLANT HOMOLOGOUS TO PARAFIBROMIN(PHP)","PHP"
"AT3G22820",0.16,0.14,"allergen-like protein(CLL1)","CLL1"
"AT3G22950",0.16,0.14,"ADP-ribosylation factor C1(ARFC1)","ARFC1"
"AT3G23310",0.16,0.13,"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein(AT3G23310)","AT3G23310"
"AT3G24065",0.16,0.14,"Plant self-incompatibility protein S1 family(AT3G24065)","AT3G24065"
"AT3G24100",0.16,0.15,"Uncharacterized protein family SERF(AT3G24100)","AT3G24100"
"AT3G24750",0.16,0.15,"hypothetical protein(AT3G24750)","AT3G24750"
"AT3G25440",0.16,0.14,"RNA-binding CRS1 / YhbY (CRM) domain protein(LOH1)","LOH1"
"AT3G26070",0.16,0.14,"Plastid-lipid associated protein PAP / fibrillin family protein(AT3G26070)","AT3G26070"
"AT3G26085",0.16,0.15,"CAAX amino terminal protease family protein(AT3G26085)","AT3G26085"
"AT3G26300",0.16,0.14,"cytochrome P450, family 71, subfamily B, polypeptide 34(CYP71B34)","CYP71B34"
"AT3G27580",0.16,0.13,"Protein kinase superfamily protein(ATPK7)","ATPK7"
"AT3G27925",0.16,0.15,"DegP protease 1(DEG1)","DEG1"
"AT3G29310",0.16,0.15,"calmodulin-binding protein-like protein(AT3G29310)","AT3G29310"
"AT3G29633",0.16,0.14,"hypothetical protein(AT3G29633)","AT3G29633"
"AT3G30842",0.16,0.13,"pleiotropic drug resistance 10(ABCG38)","ABCG38"
"AT3G42445",0.16,0.13,"hypothetical protein(AT3G42445)","AT3G42445"
"AT3G42716",0.16,0.14,"hypothetical protein(AT3G42716)","AT3G42716"
"AT3G44010",0.16,0.13,"Ribosomal protein S14p/S29e family protein(AT3G44010)","AT3G44010"
"AT3G46820",0.16,0.13,"type one serine/threonine protein phosphatase 5(TOPP5)","TOPP5"
"AT3G48030",0.16,0.14,"hypoxia-responsive family protein / zinc finger (C3HC4-type RING finger) family protein(AT3G48030)","AT3G48030"
"AT3G49010",0.16,0.13,"breast basic conserved 1(BBC1)","BBC1"
"AT3G49900",0.16,0.13,"Phototropic-responsive NPH3 family protein(AT3G49900)","AT3G49900"
"AT3G50270",0.16,0.14,"HXXXD-type acyl-transferase family protein(AT3G50270)","AT3G50270"
"AT3G50470",0.16,0.14,"homolog of RPW8 3(HR3)","HR3"
"AT3G50950",0.16,0.14,"HOPZ-ACTIVATED RESISTANCE 1(ZAR1)","ZAR1"
"AT3G51140",0.16,0.14,"DnaJ (DUF3353)(AT3G51140)","AT3G51140"
"AT3G51150",0.16,0.15,"ATP binding microtubule motor family protein(AT3G51150)","AT3G51150"
"AT3G53020",0.16,0.13,"Ribosomal protein L24e family protein(STV1)","STV1"
"AT3G54280",0.16,0.15,"ROOT GROWTH DEFECTIVE 3(RGD3)","RGD3"
"AT3G54360",0.16,0.14,"zinc ion binding protein(AT3G54360)","AT3G54360"
"AT3G55330",0.16,0.15,"PsbP-like protein 1(PPL1)","PPL1"
"AT3G56340",0.16,0.13,"Ribosomal protein S26e family protein(AT3G56340)","AT3G56340"
"AT3G56350",0.16,0.13,"Iron/manganese superoxide dismutase family protein(AT3G56350)","AT3G56350"
"AT3G58600",0.16,0.14,"Adaptin ear-binding coat-associated protein 1 NECAP-1(AT3G58600)","AT3G58600"
"AT3G59370",0.16,0.14,"Vacuolar calcium-binding protein-like protein(AT3G59370)","AT3G59370"
"AT3G59520",0.16,0.15,"RHOMBOID-like protein 13(RBL13)","RBL13"
"AT3G60620",0.16,0.15,"cytidinediphosphate diacylglycerol synthase 5(CDS5)","CDS5"
"AT3G61470",0.16,0.14,"photosystem I light harvesting complex protein(LHCA2)","LHCA2"
"AT3G61950",0.16,0.13,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT3G61950)","AT3G61950"
"AT3G62190",0.16,0.13,"Chaperone DnaJ-domain superfamily protein(AT3G62190)","AT3G62190"
"AT3G62390",0.16,0.13,"TRICHOME BIREFRINGENCE-LIKE 6(TBL6)","TBL6"
"AT3G62910",0.16,0.14,"Peptide chain release factor 1(APG3)","APG3"
"AT3G63110",0.16,0.14,"isopentenyltransferase 3(IPT3)","IPT3"
"AT3G63190",0.16,0.14,"ribosome recycling factor, chloroplast precursor(RRF)","RRF"
"AT3G63410",0.16,0.14,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(APG1)","APG1"
"AT3G63520",0.16,0.14,"carotenoid cleavage dioxygenase 1(CCD1)","CCD1"
"AT4G00020",0.16,0.14,"BREAST CANCER 2 like 2A(BRCA2(IV))","BRCA2"
"AT4G01090",0.16,0.13,"hypothetical protein (DUF3133)(AT4G01090)","AT4G01090"
"AT4G02690",0.16,0.15,"Bax inhibitor-1 family protein(AT4G02690)","AT4G02690"
"AT4G03260",0.16,0.13,"Outer arm dynein light chain 1 protein(AT4G03260)","AT4G03260"
"AT4G03440",0.16,0.13,"Ankyrin repeat family protein(AT4G03440)","AT4G03440"
"AT4G03500",0.16,0.12,"Ankyrin repeat family protein(AT4G03500)","AT4G03500"
"AT4G04630",0.16,0.14,"senescence regulator (Protein of unknown function, DUF584)(AT4G04630)","AT4G04630"
"AT4G05090",0.16,0.13,"Inositol monophosphatase family protein(AT4G05090)","AT4G05090"
"AT4G05170",0.16,0.14,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT4G05170)","AT4G05170"
"AT4G06588",0.16,0.15,"hypothetical protein(AT4G06588)","AT4G06588"
"AT4G09010",0.16,0.14,"ascorbate peroxidase 4(TL29)","TL29"
"AT4G10040",0.16,0.13,"cytochrome c-2(CYTC-2)","CYTC-2"
"AT4G11300",0.16,0.13,"ROH1, putative (DUF793)(AT4G11300)","AT4G11300"
"AT4G12420",0.16,0.14,"Cupredoxin superfamily protein(SKU5)","SKU5"
"AT4G12880",0.16,0.14,"early nodulin-like protein 19(ENODL19)","ENODL19"
"AT4G13495",0.16,0.13,"ncRNA(AT4G13495)","AT4G13495"
"AT4G15415",0.16,0.13,"Protein phosphatase 2A regulatory B subunit family protein(ATB' GAMMA)","ATB' GAMMA"
"AT4G15810",0.16,0.13,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G15810)","AT4G15810"
"AT4G15820",0.16,0.14,"ABC subfamily C protein(AT4G15820)","AT4G15820"
"AT4G15920",0.16,0.15,"Nodulin MtN3 family protein(SWEET17)","SWEET17"
"AT4G16444",0.16,0.13,"tail-anchored protein insertion receptor WRB-like protein(AT4G16444)","AT4G16444"
"AT4G16650",0.16,0.13,"O-fucosyltransferase family protein(AT4G16650)","AT4G16650"
"AT4G17350",0.16,0.15,"auxin canalization protein (DUF828)(AT4G17350)","AT4G17350"
"AT4G17560",0.16,0.14,"Ribosomal protein L19 family protein(AT4G17560)","AT4G17560"
"AT4G17740",0.16,0.12,"Peptidase S41 family protein(AT4G17740)","AT4G17740"
"AT4G18340",0.16,0.13,"Glycosyl hydrolase superfamily protein(AT4G18340)","AT4G18340"
"AT4G18910",0.16,0.14,"NOD26-like intrinsic protein 1;2(NIP1;2)","NIP1;2"
"AT4G19050",0.16,0.14,"NB-ARC domain-containing disease resistance protein(AT4G19050)","AT4G19050"
"AT4G19380",0.16,0.14,"Long-chain fatty alcohol dehydrogenase family protein(AT4G19380)","AT4G19380"
"AT4G19395",0.16,0.13,"miscRNA(MIR168a)","MIR168a"
"AT4G19420",0.16,0.13,"Pectinacetylesterase family protein(AT4G19420)","AT4G19420"
"AT4G21250",0.16,0.14,"Sulfite exporter TauE/SafE family protein(AT4G21250)","AT4G21250"
"AT4G22930",0.16,0.13,"pyrimidin 4(PYR4)","PYR4"
"AT4G23271",0.16,0.13,"transmembrane protein(AT4G23271)","AT4G23271"
"AT4G23730",0.16,0.15,"Galactose mutarotase-like superfamily protein(AT4G23730)","AT4G23730"
"AT4G23980",0.16,0.15,"auxin response factor 9(ARF9)","ARF9"
"AT4G24150",0.16,0.13,"growth-regulating factor 8(GRF8)","GRF8"
"AT4G25830",0.16,0.13,"Uncharacterized protein family (UPF0497)(AT4G25830)","AT4G25830"
"AT4G26555",0.16,0.15,"FKBP-like peptidyl-prolyl cis-trans isomerase family protein(AT4G26555)","AT4G26555"
"AT4G27700",0.16,0.14,"Rhodanese/Cell cycle control phosphatase superfamily protein(AT4G27700)","AT4G27700"
"AT4G29410",0.16,0.13,"Ribosomal L28e protein family(AT4G29410)","AT4G29410"
"AT4G30975",0.16,0.15,"ncRNA(AT4G30975)","AT4G30975"
"AT4G31490",0.16,0.13,"Coatomer, beta subunit(AT4G31490)","AT4G31490"
"AT4G31985",0.16,0.14,"Ribosomal protein L39 family protein(AT4G31985)","AT4G31985"
"AT4G32030",0.16,0.13,"hypothetical protein(AT4G32030)","AT4G32030"
"AT4G32500",0.16,0.14,"K+ transporter 5(KT5)","KT5"
"AT4G32610",0.16,0.13,"copper ion binding protein(AT4G32610)","AT4G32610"
"AT4G35560",0.16,0.14,"Transducin/WD40 repeat-like superfamily protein(DAW1)","DAW1"
"AT4G37100",0.16,0.14,"Pyridoxal phosphate (PLP)-dependent transferases superfamily protein(AT4G37100)","AT4G37100"
"AT4G37540",0.16,0.14,"LOB domain-containing protein 39(LBD39)","LBD39"
"AT4G38590",0.16,0.14,"beta-galactosidase 14(BGAL14)","BGAL14"
"AT4G40040",0.16,0.15,"Histone superfamily protein(AT4G40040)","AT4G40040"
"AT5G02070",0.16,0.14,"Protein kinase family protein(AT5G02070)","AT5G02070"
"AT5G02570",0.16,0.15,"Histone superfamily protein(AT5G02570)","AT5G02570"
"AT5G03190",0.16,0.13,"peptide upstream protein(CPUORF47)","CPUORF47"
"AT5G03285",0.16,0.13,"ncRNA(AT5G03285)","AT5G03285"
"AT5G03680",0.16,0.14,"Duplicated homeodomain-like superfamily protein(PTL)","PTL"
"AT5G04190",0.16,0.14,"phytochrome kinase substrate 4(PKS4)","PKS4"
"AT5G04240",0.16,0.13,"Zinc finger (C2H2 type) family protein / transcription factor jumonji (jmj) family protein(ELF6)","ELF6"
"AT5G04400",0.16,0.13,"NAC domain protein(NAC077)","NAC077"
"AT5G04490",0.16,0.14,"phytol kinase 1 VTE5(VTE5)","VTE5"
"AT5G05170",0.16,0.13,"Cellulose synthase family protein(CEV1)","CEV1"
"AT5G05400",0.16,0.15,"LRR and NB-ARC domains-containing disease resistance protein(AT5G05400)","AT5G05400"
"AT5G07790",0.16,0.14,"hypothetical protein(AT5G07790)","AT5G07790"
"AT5G11430",0.16,0.14,"SPOC domain / Transcription elongation factor S-II protein(AT5G11430)","AT5G11430"
"AT5G11480",0.16,0.14,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT5G11480)","AT5G11480"
"AT5G13100",0.16,0.15,"Gap junction beta-4 protein(AT5G13100)","AT5G13100"
"AT5G13850",0.16,0.14,"nascent polypeptide-associated complex subunit alpha-like protein 3(NACA3)","NACA3"
"AT5G14970",0.16,0.13,"seed maturation-like protein(AT5G14970)","AT5G14970"
"AT5G16010",0.16,0.14,"3-oxo-5-alpha-steroid 4-dehydrogenase family protein(AT5G16010)","AT5G16010"
"AT5G17050",0.16,0.14,"UDP-glucosyl transferase 78D2(UGT78D2)","UGT78D2"
"AT5G18010",0.16,0.13,"SAUR-like auxin-responsive protein family(SAUR19)","SAUR19"
"AT5G18300",0.16,0.14,"NAC domain containing protein 88(NAC088)","NAC088"
"AT5G18340",0.16,0.13,"ARM repeat superfamily protein(AT5G18340)","AT5G18340"
"AT5G18380",0.16,0.15,"Ribosomal protein S5 domain 2-like superfamily protein(AT5G18380)","AT5G18380"
"AT5G18500",0.16,0.15,"Protein kinase superfamily protein(AT5G18500)","AT5G18500"
"AT5G18660",0.16,0.15,"NAD(P)-binding Rossmann-fold superfamily protein(PCB2)","PCB2"
"AT5G19290",0.16,0.14,"alpha/beta-Hydrolases superfamily protein(AT5G19290)","AT5G19290"
"AT5G22620",0.16,0.15,"phosphoglycerate/bisphosphoglycerate mutase family protein(AT5G22620)","AT5G22620"
"AT5G23370",0.16,0.15,"GRAM domain-containing protein / ABA-responsive protein-like protein(AT5G23370)","AT5G23370"
"AT5G24314",0.16,0.14,"plastid transcriptionally active7(PTAC7)","PTAC7"
"AT5G24800",0.16,0.14,"basic leucine zipper 9(BZIP9)","BZIP9"
"AT5G27770",0.16,0.15,"Ribosomal L22e protein family(AT5G27770)","AT5G27770"
"AT5G35180",0.16,0.14,"ENHANCED DISEASE RESISTANCE protein (DUF1336)(AT5G35180)","AT5G35180"
"AT5G35520",0.16,0.14,"minichromosome instability 12 (mis12)-like protein(MIS12)","MIS12"
"AT5G35760",0.16,0.14,"Beta-galactosidase related protein(AT5G35760)","AT5G35760"
"AT5G37660",0.16,0.14,"plasmodesmata-located protein 7(PDLP7)","PDLP7"
"AT5G38070",0.16,0.14,"RING/FYVE/PHD zinc finger superfamily protein(AT5G38070)","AT5G38070"
"AT5G40390",0.16,0.13,"Raffinose synthase family protein(SIP1)","SIP1"
"AT5G40400",0.16,0.15,"Pentatricopeptide repeat (PPR) superfamily protein(AT5G40400)","AT5G40400"
"AT5G40610",0.16,0.14,"NAD-dependent glycerol-3-phosphate dehydrogenase family protein(GPDHp)","GPDHp"
"AT5G40970",0.16,0.13,"hypothetical protein (DUF 3339)(AT5G40970)","AT5G40970"
"AT5G42540",0.16,0.14,"exoribonuclease 2(XRN2)","XRN2"
"AT5G42680",0.16,0.13,"MIZU-KUSSEI-like protein (Protein of unknown function, DUF617)(AT5G42680)","AT5G42680"
"AT5G43190",0.16,0.13,"Galactose oxidase/kelch repeat superfamily protein(AT5G43190)","AT5G43190"
"AT5G43822",0.16,0.14,"Pentatricopeptide repeat (PPR) superfamily protein(AT5G43822)","AT5G43822"
"AT5G44540",0.16,0.14,"Tapetum specific protein TAP35/TAP44(AT5G44540)","AT5G44540"
"AT5G44940",0.16,0.14,"F-box/RNI-like superfamily protein(AT5G44940)","AT5G44940"
"AT5G44973",0.16,0.13,"defensin-like protein(AT5G44973)","AT5G44973"
"AT5G46915",0.16,0.14,"transcriptional factor B3 family protein(AT5G46915)","AT5G46915"
"AT5G47030",0.16,0.14,"ATPase, F1 complex, delta/epsilon subunit(AT5G47030)","AT5G47030"
"AT5G47050",0.16,0.14,"SBP (S-ribonuclease binding protein) family protein(AT5G47050)","AT5G47050"
"AT5G47360",0.16,0.14,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G47360)","AT5G47360"
"AT5G47540",0.16,0.15,"Mo25 family protein(AT5G47540)","AT5G47540"
"AT5G49465",0.16,0.14,"hypothetical protein(AT5G49465)","AT5G49465"
"AT5G50370",0.16,0.14,"Adenylate kinase family protein(AT5G50370)","AT5G50370"
"AT5G50420",0.16,0.12,"O-fucosyltransferase family protein(AT5G50420)","AT5G50420"
"AT5G52260",0.16,0.13,"myb domain protein 19(MYB19)","MYB19"
"AT5G52340",0.16,0.13,"exocyst subunit exo70 family protein A2(EXO70A2)","EXO70A2"
"AT5G52420",0.16,0.15,"transmembrane protein(AT5G52420)","AT5G52420"
"AT5G54585",0.16,0.14,"hypothetical protein(AT5G54585)","AT5G54585"
"AT5G54710",0.16,0.13,"Ankyrin repeat family protein(AT5G54710)","AT5G54710"
"AT5G54740",0.16,0.12,"seed storage albumin 5(SESA5)","SESA5"
"AT5G54855",0.16,0.15,"Pollen Ole e 1 allergen and extensin family protein(AT5G54855)","AT5G54855"
"AT5G54880",0.16,0.13,"DTW domain-containing protein(AT5G54880)","AT5G54880"
"AT5G55900",0.16,0.13,"Sucrase/ferredoxin-like family protein(AT5G55900)","AT5G55900"
"AT5G57120",0.16,0.13,"nucleolar/coiled-body phosphoprotein(AT5G57120)","AT5G57120"
"AT5G58030",0.16,0.14,"Transport protein particle (TRAPP) component(AT5G58030)","AT5G58030"
"AT5G58120",0.16,0.14,"Disease resistance protein (TIR-NBS-LRR class) family(AT5G58120)","AT5G58120"
"AT5G59050",0.16,0.14,"G patch domain protein(AT5G59050)","AT5G59050"
"AT5G59240",0.16,0.15,"Ribosomal protein S8e family protein(AT5G59240)","AT5G59240"
"AT5G59470",0.16,0.15,"Mannose-P-dolichol utilization defect 1 protein(AT5G59470)","AT5G59470"
"AT5G59662",0.16,0.13,"ncRNA(AT5G59662)","AT5G59662"
"AT5G62890",0.16,0.13,"Xanthine/uracil permease family protein(AT5G62890)","AT5G62890"
"AT5G64470",0.16,0.14,"trichome birefringence-like protein (DUF828)(TBL12)","TBL12"
"AT5G64816",0.16,0.14,"thionin-like protein(AT5G64816)","AT5G64816"
"AT5G64850",0.16,0.13,"sorbin/SH3 domain protein(AT5G64850)","AT5G64850"
"AT5G65683",0.16,0.14,"Zinc finger (C3HC4-type RING finger) family protein(WAVH2)","WAVH2"
"AT5G67190",0.16,0.14,"DREB and EAR motif protein 2(DEAR2)","DEAR2"
"AT5G67240",0.16,0.15,"small RNA degrading nuclease 3(SDN3)","SDN3"
"ATCG00010",0.16,0.13,"TRNH","TRNH"
"AT1G01350",0.15,0.16,"Zinc finger (CCCH-type/C3HC4-type RING finger) family protein(AT1G01350)","AT1G01350"
"AT1G01670",0.15,0.18,"RING/U-box superfamily protein(AT1G01670)","AT1G01670"
"AT1G03010",0.15,0.17,"Phototropic-responsive NPH3 family protein(AT1G03010)","AT1G03010"
"AT1G03055",0.15,0.16,"beta-carotene isomerase D27-like protein(D27)","D27"
"AT1G03520",0.15,0.15,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT1G03520)","AT1G03520"
"AT1G06500",0.15,0.16,"hypothetical protein(AT1G06500)","AT1G06500"
"AT1G06690",0.15,0.16,"NAD(P)-linked oxidoreductase superfamily protein(AT1G06690)","AT1G06690"
"AT1G07770",0.15,0.17,"ribosomal protein S15A(RPS15A)","RPS15A"
"AT1G08770",0.15,0.16,"prenylated RAB acceptor 1.E(PRA1.E)","PRA1.E"
"AT1G09210",0.15,0.17,"calreticulin 1b(CRT1b)","CRT1b"
"AT1G10510",0.15,0.17,"RNI-like superfamily protein(emb2004)","emb2004"
"AT1G10682",0.15,0.16,"ncRNA(AT1G10682)","AT1G10682"
"AT1G11630",0.15,0.16,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G11630)","AT1G11630"
"AT1G13810",0.15,0.15,"Restriction endonuclease, type II-like superfamily protein(AT1G13810)","AT1G13810"
"AT1G14600",0.15,0.17,"Homeodomain-like superfamily protein(AT1G14600)","AT1G14600"
"AT1G16410",0.15,0.17,"cytochrome p450 79f1(CYP79F1)","CYP79F1"
"AT1G19010",0.15,0.16,"hypothetical protein(AT1G19010)","AT1G19010"
"AT1G19050",0.15,0.18,"response regulator 7(ARR7)","ARR7"
"AT1G19115",0.15,0.15,"hypothetical protein(AT1G19115)","AT1G19115"
"AT1G19373",0.15,0.17,"ncRNA(AT1G19373)","AT1G19373"
"AT1G19990",0.15,0.17,"nucleolin(AT1G19990)","AT1G19990"
"AT1G20220",0.15,0.16,"Alba DNA/RNA-binding protein(AT1G20220)","AT1G20220"
"AT1G21010",0.15,0.17,"poly polymerase(AT1G21010)","AT1G21010"
"AT1G21480",0.15,0.15,"Exostosin family protein(AT1G21480)","AT1G21480"
"AT1G22050",0.15,0.15,"membrane-anchored ubiquitin-fold protein 6 precursor(MUB6)","MUB6"
"AT1G22590",0.15,0.16,"AGAMOUS-like 87(AGL87)","AGL87"
"AT1G23170",0.15,0.15,"transmembrane protein (Protein of unknown function DUF2359, transmembrane)(AT1G23170)","AT1G23170"
"AT1G23390",0.15,0.17,"Kelch repeat-containing F-box family protein(AT1G23390)","AT1G23390"
"AT1G23465",0.15,0.17,"Peptidase S24/S26A/S26B/S26C family protein(AT1G23465)","AT1G23465"
"AT1G23970",0.15,0.15,"hypothetical protein (DUF626)(AT1G23970)","AT1G23970"
"AT1G26761",0.15,0.16,"Arabinanase/levansucrase/invertase(AT1G26761)","AT1G26761"
"AT1G28510",0.15,0.16,"Optic atrophy 3 protein (OPA3)(AT1G28510)","OPA3"
"AT1G28540",0.15,0.16,"transmembrane protein(AT1G28540)","AT1G28540"
"AT1G29000",0.15,0.16,"Heavy metal transport/detoxification superfamily protein(AT1G29000)","AT1G29000"
"AT1G29600",0.15,0.16,"Zinc finger C-x8-C-x5-C-x3-H type family protein(AT1G29600)","AT1G29600"
"AT1G29910",0.15,0.17,"chlorophyll A/B binding protein 3(CAB3)","CAB3"
"AT1G30070",0.15,0.17,"SGS domain-containing protein(AT1G30070)","AT1G30070"
"AT1G30135",0.15,0.17,"jasmonate-zim-domain protein 8(JAZ8)","JAZ8"
"AT1G31360",0.15,0.15,"RECQ helicase L2(RECQL2)","RECQL2"
"AT1G34010",0.15,0.16,"hypothetical protein(AT1G34010)","AT1G34010"
"AT1G35710",0.15,0.17,"kinase family with leucine-rich repeat domain-containing protein(AT1G35710)","AT1G35710"
